,epoch,loss,accuracy,val_loss,val_accuracy
0,1.0,1.864581184727805,0.08563585907335906,1.8622282147407532,0.11868990384615385
1,2.0,1.8650693467685155,0.08645028957528957,1.867775946855545,0.1015625
2,3.0,1.8648934279169356,0.08482142857142858,1.8525257408618927,0.1415264423076923
3,4.0,1.8646940674100603,0.08645028957528957,1.8624913096427917,0.11298076923076923
4,5.0,1.8650207434381758,0.08726472007722008,1.8655089735984802,0.11868990384615385
5,6.0,1.863674453326634,0.08970801158301159,1.8686889111995697,0.10727163461538461
6,7.0,1.863055944442749,0.08970801158301159,1.8591340780258179,0.11868990384615385
7,8.0,1.8633440562656947,0.08563585907335906,1.859020709991455,0.11868990384615385
8,9.0,1.8643567902701241,0.08807915057915058,1.8560045957565308,0.11868990384615385
9,10.0,1.8634470360619682,0.08563585907335906,1.8630205988883972,0.11868990384615385
10,11.0,1.865494625908988,0.08645028957528957,1.8583873510360718,0.11298076923076923
11,12.0,1.8624293889318193,0.08807915057915058,1.8678111732006073,0.11298076923076923
12,13.0,1.8642278398786272,0.08482142857142858,1.8668125569820404,0.11868990384615385
13,14.0,1.8627403037888663,0.08807915057915058,1.864264339208603,0.11868990384615385
14,15.0,1.8642752000263758,0.08726472007722008,1.863763302564621,0.12439903846153846
15,16.0,1.8634685959134782,0.0883807915057915,1.8654852211475372,0.12439903846153846
16,17.0,1.8628022585596358,0.09163851351351351,1.8648214042186737,0.10727163461538461
17,18.0,1.864286175795964,0.0883807915057915,1.8577206432819366,0.13010817307692307
18,19.0,1.8639459780284338,0.0883807915057915,1.859470397233963,0.12439903846153846
19,20.0,1.8634453501020158,0.09000965250965251,1.8572857975959778,0.1358173076923077
20,21.0,1.8621951171330042,0.0867519305019305,1.8573542535305023,0.13010817307692307
21,22.0,1.8625400917870658,0.0883807915057915,1.8706493973731995,0.1015625
22,23.0,1.8631250773157393,0.08919522200772201,1.874352216720581,0.12439903846153846
23,24.0,1.8633372698511397,0.0883807915057915,1.8711937069892883,0.11298076923076923
24,25.0,1.8626523273331779,0.0883807915057915,1.864846646785736,0.10727163461538461
25,26.0,1.861883750983647,0.08919522200772201,1.8646007180213928,0.11298076923076923
26,27.0,1.863272181579045,0.0867519305019305,1.85887810587883,0.12439903846153846
27,28.0,1.8626711113112313,0.0859375,1.8606769442558289,0.11868990384615385
28,29.0,1.863492923123496,0.0883807915057915,1.8622350990772247,0.11298076923076923
29,30.0,1.863997791494642,0.09344835907335906,1.8625204861164093,0.13822115384615385
30,31.0,1.86078485420772,0.11507601351351351,1.8627532124519348,0.1553485576923077
31,32.0,1.8631266440664018,0.11100386100386099,1.865231841802597,0.13251201923076922
32,33.0,1.8621966668537684,0.11619208494208495,1.8573408126831055,0.14393028846153846
33,34.0,1.8636297583580017,0.11293436293436294,1.8690411746501923,0.13251201923076922
34,35.0,1.8620474253382002,0.11293436293436294,1.8663888573646545,0.14963942307692307
35,36.0,1.8641412854194641,0.11049107142857142,1.8625274002552032,0.14393028846153846
36,37.0,1.862860815865653,0.11211993243243243,1.8593904972076416,0.1610576923076923
37,38.0,1.86054584809712,0.11537765444015445,1.866603523492813,0.13822115384615385
38,39.0,1.8615467292921883,0.11456322393822393,1.8644953966140747,0.1268028846153846
39,40.0,1.8623039722442627,0.11456322393822393,1.8583051562309265,0.14393028846153846
40,41.0,1.8638518963541304,0.11211993243243243,1.8685807585716248,0.13251201923076922
41,42.0,1.8613726156098502,0.11619208494208495,1.8588527739048004,0.13822115384615385
42,43.0,1.8632191845348902,0.11049107142857142,1.8665398061275482,0.14393028846153846
43,44.0,1.8618743760245187,0.11211993243243243,1.8659844994544983,0.13822115384615385
44,45.0,1.8636191827910287,0.11374879343629343,1.862634003162384,0.14393028846153846
45,46.0,1.8620464035442896,0.11211993243243243,1.863161861896515,0.13251201923076922
46,47.0,1.8624202353613717,0.11649372586872588,1.857132077217102,0.14963942307692307
47,48.0,1.8614122186388289,0.11567929536679536,1.8583297729492188,0.1268028846153846
48,49.0,1.8607210772378104,0.11821307915057915,1.8659677505493164,0.1424278846153846
49,50.0,1.8632746083395821,0.13383807915057916,1.8590861856937408,0.16526442307692307
50,51.0,1.8616690124784196,0.13220921814671813,1.8644036054611206,0.15955528846153846
51,52.0,1.8620598656790597,0.13465250965250966,1.87062007188797,0.15384615384615385
52,53.0,1.8600430573735918,0.1373974420849421,1.8614076375961304,0.1709735576923077
53,54.0,1.8616849439484733,0.13576858108108109,1.8603756725788116,0.15384615384615385
54,55.0,1.8603287168911524,0.1373974420849421,1.8695403933525085,0.15204326923076922
55,56.0,1.8606222782816206,0.1390263030888031,1.8576152920722961,0.1805889423076923
56,57.0,1.8598482353346688,0.1365830115830116,1.8640642762184143,0.15775240384615385
57,58.0,1.8618554047175817,0.13332528957528958,1.8624774515628815,0.15775240384615385
58,59.0,1.8602748768670219,0.1365830115830116,1.862613469362259,0.1463341346153846
59,60.0,1.8602173328399658,0.13851351351351351,1.8625869750976562,0.16346153846153846
60,61.0,1.8600861515317644,0.137699083011583,1.8585718274116516,0.1805889423076923
61,62.0,1.859647478376116,0.137699083011583,1.8605406880378723,0.16917067307692307
62,63.0,1.8619521345411028,0.1352557915057915,1.8582525849342346,0.16346153846153846
63,64.0,1.8602967006819588,0.1368846525096525,1.869581699371338,0.16346153846153846
64,65.0,1.8610643999917167,0.137699083011583,1.8660520911216736,0.15204326923076922
65,66.0,1.859837761947087,0.13851351351351351,1.854567974805832,0.1748798076923077
66,67.0,1.8624364393098014,0.1352557915057915,1.858357697725296,0.1748798076923077
67,68.0,1.8607376302991594,0.13851351351351351,1.8649031221866608,0.16346153846153846
68,69.0,1.8613613162721907,0.136070222007722,1.8623280823230743,0.16917067307692307
69,70.0,1.8584991352898734,0.13851351351351351,1.857739508152008,0.1748798076923077
70,71.0,1.8603617208344596,0.1368846525096525,1.8644315302371979,0.15204326923076922
71,72.0,1.8622127856527055,0.1336269305019305,1.8679386973381042,0.15775240384615385
72,73.0,1.8609804851668221,0.136070222007722,1.858987182378769,0.16917067307692307
73,74.0,1.860652812889644,0.136070222007722,1.858043909072876,0.15775240384615385
74,75.0,1.859992265701294,0.1352557915057915,1.8661244213581085,0.16346153846153846
75,76.0,1.8609057068824768,0.136070222007722,1.8720966577529907,0.1463341346153846
76,77.0,1.861605099269322,0.134441361003861,1.8613037467002869,0.16917067307692307
77,78.0,1.859761348792485,0.13881515444015444,1.8640532493591309,0.16917067307692307
78,79.0,1.8599484137126379,0.13718629343629343,1.8650274276733398,0.15204326923076922
79,80.0,1.8603233524731226,0.13881515444015444,1.8686766922473907,0.16917067307692307
80,81.0,1.8594583102634974,0.13637186293436293,1.8680478930473328,0.15204326923076922
81,82.0,1.8599855559212821,0.1399312258687259,1.8566361963748932,0.16917067307692307
82,83.0,1.8597676157951355,0.13911679536679536,1.864246904850006,0.15204326923076922
